message,success,failure,mode
好きだよ,ありがとう,信じられない,easy
可愛いね,嬉しい,どうせ可愛くないし,easy
元気？,別に…,もう無理疲れた,easy
今日の服似合ってるね,本当？,心からそう思ってる？,easy
そばにいるよ,じゃあ離れないで,離れたら私、壊れるから,easy
返事遅くなってごめん,既読スルー？,他の可愛い子と浮気してたんでしょ？,hard
おはよう,起きてすぐ話かかけてくれるの嬉しい,なんで昨日寝落ちたの？,easy
疲れたね,お疲れ様,マジ無理、放っておいて,easy
今日は楽しかったね,また会いたい,もう二度と会いたくない,easy
君のこと考えてた,私も君のこと考えてた,どうせ他の女こと考えてたんでしょ？,hard 
最近どう？,調子いいよ,なんで連絡くれなかったの？,easy 
久しぶりだね,会えて嬉しい,なんで連絡くれなかったの？,easy 
無理しないで,ありがとう,は？私のこと何も知らないくせに,hard 
今度遊びに行こうよ,楽しみ！,どうせ他の予定があるんでしょ？,easy
助けてほしい,すぐ行くよ,どうせ来ないんでしょ？,hard
